bloomberg_name	lps_deal_no	intex_group	lps_pool_id	tranche_count
AMAC 2002-4	ABN24	0		21
AMAC 2002-5	ABN25	0		21
AMAC 2002-6	ABN26	0		19
AMAC 2002-7	ABN27	0		23
AMAC 2002-8	ABN28	0		60
AMAC 2002-9	ABN29	0	RQ0	42
AMAC 2003-1	ABN31	0	RQ3	13
AMAC 2003-10	AB310	0	RVU	11
AMAC 2003-11	ABN3B	0	RZZ	23
AMAC 2003-12	ABN3C	0	RZW	10
AMAC 2003-12	ABN3C	NULL	RZW	2
AMAC 2003-13	ABN3D	0	RZN	19
AMAC 2003-2	ABN32	0	RQ4	15
AMAC 2003-3	ABN33	0	RQ6	26
AMAC 2003-4	ABN34	0	RQ7	31
AMAC 2003-5	ABN35	1	RQ8	40
AMAC 2003-5	ABN35	2	RQ9	14
AMAC 2003-6	ABN36	1	RR0	39
AMAC 2003-6	ABN36	2	RU0	17
AMHEL 1998-1		0		4
AMIT 2004-1	AA401	1	IAA	16
AMIT 2004-1	AA401	2	IAB	15
AMIT 2005-1		0		17
AMIT 2005-2	AA502	1	IAE	16
AMIT 2005-2	AA502	2	IAF	14
AMIT 2005-3		0		12
AMIT 2005-4	AA504	1	IAG	13
AMIT 2005-4	AA504	2	IAH	16
AMIT 2006-1	AA601	0	IAI	15
AMLT 1997-1	AD971	0		11
AMLT 1997-2	AD972	0		10
AMLT 2000-1	AD001	0		7
AMLT 2000-2	AD002	0		6
AMRES 1998-2	ARS82	1	A99	9
AMRES 1998-3	ARS83	1	A9B	7
AMRES 1999-1	ARS91	0	A9D	4
AMSI 2000-1	AR001	0		6
AMSI 2000-2	AQ002	0		6
AMSI 2001-1	AMQ11	0		3
AMSI 2001-2	AMQ12	1	AQB	1
AMSI 2001-2	AMQ12	2	AQC	1
AMSI 2001-3	AMQ13	0		5
AMSI 2002-1	AMQ21	0		12
AMSI 2002-2	AMQ22	1	AQH	6
AMSI 2002-2	AMQ22	2	AQI	1
AMSI 2002-3	AMQ23	1	AQN	6
AMSI 2002-3	AMQ23	2	AQO	1
AMSI 2002-4	AMQ24	1	AQT	6
AMSI 2002-4	AMQ24	2	AQU	6
AMSI 2002-4	AMQ24	3	AQV	5
AMSI 2002-5	AMQ25	0		11
AMSI 2002-AR1	A2AR1	1	AQL	5
AMSI 2002-AR1	A2AR1	2	AQM	5
AMSI 2002-C	AMQ2C	0		2
AMSI 2002-D	AMQ2D	0		2
AMSI 2003-1	AMQ31	1	ARS	6
AMSI 2003-1	AMQ31	2	ART	6
AMSI 2003-10	AMQ30	1	ATR	8
AMSI 2003-10	AMQ30	2	ATS	8
AMSI 2003-10	AMQ30	3	ATT	13
